Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542495600.0 10824.0 56 169 317 94 0 NA NA NA 103 239 409 128 0 NA NA NA 4958 1817 2166 425 2391 NA NA NA 5515 2287 2423 566 2548 NA NA NA
1542495600.0 10825.0 62 159 310 74 0 NA NA NA 101 236 409 115 0 NA NA NA 3707 1943 2266 418 2087 NA NA NA 4170 2449 2655 614 2196 NA NA NA
1542495600.0 10826.0 64 166 310 87 0 NA NA NA 105 241 409 126 0 NA NA NA 7798 1975 2546 421 2388 NA NA NA 8784 2486 2804 574 2542 NA NA NA
1542495600.0 10842.0 54 158 310 91 0 NA NA NA 101 232 409 128 0 NA NA NA 1577 1473 2141 513 2255 NA NA NA 1901 1867 2489 772 2396 NA NA NA
1542495600.0 109.0 62 79 221 NA NA NA NA NA 117 136 298 NA NA NA NA NA 5300 542 1772 NA NA NA NA NA 5980 757 2104 NA NA NA NA NA
1542495600.0 11.0 NA 88 231 0 57 NA NA NA NA 144 318 0 99 NA NA NA NA 2272 1839 820 309 NA NA NA NA 2713 2134 977 652 NA NA NA
1542495600.0 110.0 56 75 219 NA NA NA NA NA 95 136 292 NA NA NA NA NA 628 489 1541 NA NA NA NA NA 868 695 1813 NA NA NA NA NA
1542495600.0 1102.0 NA 101 232 113 81 NA NA NA NA 152 313 182 157 NA NA NA NA 2715 4301 1680 356 NA NA NA NA 3794 4766 1992 439 NA NA NA
1542495600.0 111.0 61 81 222 NA NA NA NA NA 115 136 296 NA NA NA NA NA 1991 431 1706 NA NA NA NA NA 2312 657 2129 NA NA NA NA NA
1542495600.0 112.0 57 76 217 NA NA NA NA NA 115 136 295 NA NA NA NA NA 3882 524 1712 NA NA NA NA NA 4521 770 2089 NA NA NA NA NA
1542495600.0 11224.0 57 180 311 0 NA NA NA NA 103 238 408 0 NA NA NA NA 4865 1810 2266 2277 NA NA NA NA 5512 2308 2574 2427 NA NA NA NA
1542495600.0 113.0 62 77 221 NA NA NA NA NA 117 136 297 NA NA NA NA NA 4548 566 1620 NA NA NA NA NA 5081 808 1956 NA NA NA NA NA
1542495600.0 114.0 62 80 223 NA NA NA NA NA 116 136 297 NA NA NA NA NA 4050 589 1753 NA NA NA NA NA 4654 860 2094 NA NA NA NA NA
1542495600.0 115.0 63 77 225 NA NA NA NA NA 117 136 298 NA NA NA NA NA 4584 542 1946 NA NA NA NA NA 5261 794 2550 NA NA NA NA NA
1542495600.0 116.0 63 75 219 NA NA NA NA NA 116 136 297 NA NA NA NA NA 4857 567 1598 NA NA NA NA NA 5470 770 1847 NA NA NA NA NA
1542495600.0 11623.0 51 172 300 82 0 NA NA NA 95 231 411 114 0 NA NA NA 965 1683 2604 466 2654 NA NA NA 1246 2095 3521 758 2817 NA NA NA
1542495600.0 11624.0 54 164 315 89 0 NA NA NA 99 241 412 130 0 NA NA NA 4417 2236 2411 585 2521 NA NA NA 5042 2834 2707 743 2653 NA NA NA
1542495600.0 11625.0 53 160 313 73 0 NA NA NA 97 237 412 115 0 NA NA NA 3481 1942 2340 466 2738 NA NA NA 4106 2528 2681 657 2905 NA NA NA
1542495600.0 11626.0 63 177 313 74 0 NA NA NA 101 249 413 116 0 NA NA NA 7470 2570 3339 572 2666 NA NA NA 8440 3304 4207 1237 2804 NA NA NA
1542495600.0 11642.0 53 158 313 84 0 NA NA NA 97 234 412 129 0 NA NA NA 1444 1717 2353 570 2411 NA NA NA 1793 2129 2743 996 2518 NA NA NA
1542495600.0 117.0 63 75 221 NA NA NA NA NA 116 136 298 NA NA NA NA NA 5905 550 1716 NA NA NA NA NA 6687 765 2030 NA NA NA NA NA
1542495600.0 118.0 64 77 220 NA NA NA NA NA 117 136 299 NA NA NA NA NA 5808 571 1809 NA NA NA NA NA 6481 796 2120 NA NA NA NA NA
1542495600.0 119.0 61 80 220 NA NA NA NA NA 115 136 295 NA NA NA NA NA 3202 530 1712 NA NA NA NA NA 3677 781 2080 NA NA NA NA NA
1542495600.0 12.0 NA 97 231 0 NA NA NA NA NA 152 315 0 NA NA NA NA NA 2697 3209 702 NA NA NA NA NA 3129 3529 870 NA NA NA NA
1542495600.0 120.0 52 78 219 NA NA NA NA NA 101 136 292 NA NA NA NA NA 504 446 1618 NA NA NA NA NA 665 589 1958 NA NA NA NA NA
1542495600.0 12024.0 54 166 314 0 NA NA NA NA 99 242 412 0 NA NA NA NA 4452 2062 2413 2747 NA NA NA NA 5380 2790 2663 2937 NA NA NA NA
1542495600.0 121.0 63 79 224 NA NA NA NA NA 117 136 298 NA NA NA NA NA 5784 579 2134 NA NA NA NA NA 6478 834 2632 NA NA NA NA NA
1542495600.0 122.0 64 72 219 NA NA NA NA NA 108 136 292 NA NA NA NA NA 717 307 1502 NA NA NA NA NA 946 543 1782 NA NA NA NA NA
1542495600.0 123.1 183 NA NA NA NA NA NA NA 264 NA NA NA NA NA NA NA 1195 NA NA NA NA NA NA NA 1456 NA NA NA NA NA NA NA
1542495600.0 123.2 190 NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA 1615 NA NA NA NA NA NA NA 2375 NA NA NA NA NA NA NA
1542495600.0 123.3 168 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 1273 NA NA NA NA NA NA NA 1986 NA NA NA NA NA NA NA
1542495600.0 124.1 183 NA NA NA NA NA NA NA 252 NA NA NA NA NA NA NA 1374 NA NA NA NA NA NA NA 2570 NA NA NA NA NA NA NA
1542495600.0 124.2 191 NA NA NA NA NA NA NA 264 NA NA NA NA NA NA NA 1421 NA NA NA NA NA NA NA 2036 NA NA NA NA NA NA NA
