Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1542405600.0 1319.0 NA 261 284 0 NA NA NA 2097290 2097430 0 NA NA NA 993 6334 2072 NA NA NA 1143 27541 4556 NA NA
1542405600.0 132.0 235 261 391 NA NA NA 2097300 2097270 2097420 NA NA NA 4210 932 3874 NA NA NA 5083 1033 11876 NA NA NA
1542405600.0 1320.0 NA 279 291 0 NA NA NA 2097290 2097430 0 NA NA NA 1297 6213 2195 NA NA NA 2264 24109 5237 NA NA
1542405600.0 1321.0 NA 287 NA NA NA NA NA 2097290 NA NA NA NA NA 1189 NA NA NA NA NA 1572 NA NA NA NA
1542405600.0 1322.0 NA 267 NA NA NA NA NA 2097290 NA NA NA NA NA 1135 NA NA NA NA NA 1345 NA NA NA NA
1542405600.0 1323.0 NA 257 NA NA NA NA NA 2097290 NA NA NA NA NA 1024 NA NA NA NA NA 1213 NA NA NA NA
1542405600.0 1324.0 NA 258 NA NA NA NA NA 2097290 NA NA NA NA NA 1376 NA NA NA NA NA 2340 NA NA NA NA
1542405600.0 1325.0 NA 261 365 0 184 NA NA 2097290 2097440 0 2097260 NA NA 1401 6109 2399 810 NA NA 2253 19773 7380 3316 NA
1542405600.0 1325.1 NA 238 364 0 NA NA NA 2097290 2097320 0 NA NA NA 1562 2368 857 NA NA NA 3141 5661 1851 NA NA
1542405600.0 1325.2 NA 275 262 0 NA NA NA 2097290 2097440 0 NA NA NA 1311 8741 2103 NA NA NA 1599 39128 4502 NA NA
1542405600.0 1325.3 NA 257 401 0 NA NA NA 2097290 2097320 0 NA NA NA 1724 2312 761 NA NA NA 5256 5444 1427 NA NA
1542405600.0 1325.4 NA 278 NA NA NA NA NA 2097290 NA NA NA NA NA 1262 NA NA NA NA NA 1394 NA NA NA NA
1542405600.0 1325.5 NA 299 0 NA NA NA NA 2097370 0 NA NA NA NA 8067 328 NA NA NA NA 12613 869 NA NA NA
1542405600.0 1325.51 NA 296 0 NA NA NA NA 2097360 0 NA NA NA NA 4753 288 NA NA NA NA 7871 410 NA NA NA
1542405600.0 1325.6 NA 269 NA NA NA NA NA 2097330 NA NA NA NA NA 8155 NA NA NA NA NA 28661 NA NA NA NA
1542405600.0 1325.7 NA 249 0 NA NA NA NA 2097350 0 NA NA NA NA 5089 187 NA NA NA NA 12989 258 NA NA NA
1542405600.0 1325.8 NA 321 0 NA NA NA NA 2097350 0 NA NA NA NA 4408 198 NA NA NA NA 5491 338 NA NA NA
1542405600.0 1325.9 NA 311 0 NA NA NA NA 2097340 0 NA NA NA NA 3807 191 NA NA NA NA 4963 296 NA NA NA
1542405600.0 1326.0 NA 263 374 0 NA NA NA 2097290 2097430 0 NA NA NA 930 3602 1273 NA NA NA 1161 11958 2247 NA NA
1542405600.0 1327.0 NA 257 362 0 NA NA NA 2097290 2097430 0 NA NA NA 1029 3403 1344 NA NA NA 1841 8928 2338 NA NA
1542405600.0 1328.0 NA 262 439 0 NA NA NA 2097290 2097440 0 NA NA NA 1111 4453 1309 NA NA NA 2328 19744 2099 NA NA
1542405600.0 1329.0 NA 256 498 NA NA NA NA 2097290 2097430 NA NA NA NA 940 3535 NA NA NA NA 1441 11294 NA NA NA
1542405600.0 1329.1 NA 343 0 NA NA NA NA 2097350 0 NA NA NA NA 4127 208 NA NA NA NA 7220 528 NA NA NA
1542405600.0 133.0 243 254 NA NA NA NA 2097300 2097280 NA NA NA NA 6018 993 NA NA NA NA 6624 1170 NA NA NA NA
1542405600.0 1330.0 NA 265 523 0 NA NA NA 2097290 2097440 0 NA NA NA 1038 4075 1341 NA NA NA 1537 15748 2090 NA NA
1542405600.0 1331.0 NA 254 314 0 NA NA NA 2097290 2097430 0 NA NA NA 1036 3727 1246 NA NA NA 1633 13342 1707 NA NA
1542405600.0 1332.0 NA 234 448 0 NA NA NA 2097290 2097440 0 NA NA NA 1133 4170 1264 NA NA NA 2499 17002 1853 NA NA
1542405600.0 1333.0 NA 263 492 0 NA NA NA 2097290 2097430 0 NA NA NA 921 3554 1413 NA NA NA 1119 11504 2986 NA NA
1542405600.0 1334.0 NA 252 362 0 NA NA NA 2097290 2097440 0 NA NA NA 1123 4097 1511 NA NA NA 2017 12998 3741 NA NA
1542405600.0 1335.0 NA 263 377 0 NA NA NA 2097290 2097430 0 NA NA NA 937 3850 1200 NA NA NA 1150 16969 1355 NA NA
1542405600.0 1336.0 NA 299 456 0 NA NA NA 2097290 2097440 0 NA NA NA 1182 7319 1313 NA NA NA 1857 22286 1589 NA NA
1542405600.0 1337.0 NA 300 441 0 NA NA NA 2097290 2097440 0 NA NA NA 1323 6738 1293 NA NA NA 1605 25307 2285 NA NA
1542405600.0 1338.0 NA 255 385 0 NA NA NA 2097290 2097440 0 NA NA NA 1141 4359 1277 NA NA NA 2431 16175 1949 NA NA
