Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543442400.0 2017.12 388 0 136 NA NA NA 729 0 239 NA NA NA 2161 524 1722 NA NA NA 2636 973 1935 NA NA NA
1543442400.0 2017.13 404 0 NA NA NA NA 732 0 NA NA NA NA 1997 649 NA NA NA NA 2158 857 NA NA NA NA
1543442400.0 2017.2 312 0 137 NA NA NA 740 0 229 NA NA NA 2058 450 1721 NA NA NA 3094 792 1970 NA NA NA
1543442400.0 2017.3 315 0 133 NA NA NA 737 0 238 NA NA NA 2049 449 1713 NA NA NA 3635 559 1956 NA NA NA
1543442400.0 2017.4 366 0 137 NA NA NA 741 0 234 NA NA NA 2177 495 1736 NA NA NA 3003 643 2479 NA NA NA
1543442400.0 2017.5 353 0 129 NA NA NA 730 0 236 NA NA NA 2151 497 1738 NA NA NA 2772 664 1997 NA NA NA
1543442400.0 2017.6 376 0 136 NA NA NA 732 0 246 NA NA NA 2302 536 1802 NA NA NA 2891 910 1948 NA NA NA
1543442400.0 2017.7 357 0 136 NA NA NA 733 0 238 NA NA NA 2191 504 1741 NA NA NA 2450 860 2067 NA NA NA
1543442400.0 2017.8 221 NA NA NA NA NA 318 NA NA NA NA NA 893 NA NA NA NA NA 1095 NA NA NA NA NA
1543442400.0 2017.9 353 0 135 NA NA NA 739 0 234 NA NA NA 2108 474 1712 NA NA NA 2264 705 2655 NA NA NA
1543442400.0 250406.0 334 0 132 NA NA NA 705 0 238 NA NA NA 2418 463 1915 NA NA NA 4017 641 2376 NA NA NA
1543442400.0 25406.0 468 0 128 NA NA NA 750 0 227 NA NA NA 3346 550 1898 NA NA NA 3728 1191 2736 NA NA NA
1543442400.0 25407.0 408 0 128 NA NA NA 709 0 242 NA NA NA 4663 528 1967 NA NA NA 4523 1067 2607 NA NA NA
1543442400.0 4.22 NA 157 62 67 0 NA NA 284 129 143 0 NA NA 2184 1057 1221 406 NA NA 3780 1642 1516 1074 NA
1543442400.0 4001.0 NA 180 379 NA NA NA NA 572 527 NA NA NA NA 1215 3787 NA NA NA NA 1183 3611 NA NA NA
1543442400.0 4002.0 NA 132 301 NA NA NA NA 551 451 NA NA NA NA 2271 3915 NA NA NA NA 1579 3539 NA NA NA
1543442400.0 4003.0 NA 141 303 NA NA NA NA 597 447 NA NA NA NA 2314 4130 NA NA NA NA 1186 3488 NA NA NA
1543442400.0 4006.0 65 180 354 NA NA NA 149 605 526 NA NA NA 873 951 3374 NA NA NA 1371 1383 3801 NA NA NA
1543442400.0 503.0 38 0 NA NA NA NA 92 0 NA NA NA NA 543 240 NA NA NA NA 1185 398 NA NA NA NA
1543442400.0 504.0 36 0 NA NA NA NA 89 0 NA NA NA NA 531 248 NA NA NA NA 797 379 NA NA NA NA
1543442400.0 505.0 33 0 NA NA NA NA 91 0 NA NA NA NA 529 251 NA NA NA NA 1963 863 NA NA NA NA
1543442400.0 506.0 37 0 NA NA NA NA 89 0 NA NA NA NA 555 236 NA NA NA NA 1080 363 NA NA NA NA
1543442400.0 507.0 35 0 NA NA NA NA 89 0 NA NA NA NA 626 237 NA NA NA NA 1270 358 NA NA NA NA
1543442400.0 508.0 35 0 NA NA NA NA 88 0 NA NA NA NA 523 253 NA NA NA NA 1479 1139 NA NA NA NA
1543442400.0 509.0 34 0 NA NA NA NA 86 0 NA NA NA NA 504 245 NA NA NA NA 703 486 NA NA NA NA
1543442400.0 510.0 31 0 NA NA NA NA 91 0 NA NA NA NA 657 250 NA NA NA NA 1691 458 NA NA NA NA
1543442400.0 511.0 43 0 NA NA NA NA 97 0 NA NA NA NA 17225 252 NA NA NA NA 22070 474 NA NA NA NA
1543442400.0 512.0 15 37 0 NA NA NA 65 95 0 NA NA NA 2440 484 243 NA NA NA 11578 1006 472 NA NA NA
1543442400.0 513.0 14 41 0 NA NA NA 65 97 0 NA NA NA 867 501 259 NA NA NA 2614 1677 501 NA NA NA
1543442400.0 514.0 14 38 0 NA NA NA 65 97 0 NA NA NA 589 479 253 NA NA NA 1757 634 662 NA NA NA
1543442400.0 515.0 14 39 0 NA NA NA 65 96 0 NA NA NA 2431 524 238 NA NA NA 11598 819 358 NA NA NA
1543442400.0 516.0 14 39 0 NA NA NA 65 97 0 NA NA NA 873 505 275 NA NA NA 1816 795 720 NA NA NA
1543442400.0 517.0 14 40 0 NA NA NA 65 98 0 NA NA NA 1402 517 263 NA NA NA 2134 1698 553 NA NA NA
1543442400.0 518.0 14 40 0 NA NA NA 65 97 0 NA NA NA 2406 496 238 NA NA NA 6780 779 378 NA NA NA
1543442400.0 519.0 14 39 0 NA NA NA 65 97 0 NA NA NA 848 514 234 NA NA NA 2489 798 345 NA NA NA
1543442400.0 520.0 14 42 0 NA NA NA 68 97 0 NA NA NA 1347 544 250 NA NA NA 2044 1124 559 NA NA NA
1543442400.0 521.0 13 41 0 NA NA NA 65 98 0 NA NA NA 808 444 262 NA NA NA 1868 532 592 NA NA NA
1543442400.0 522.0 14 41 0 NA NA NA 65 97 0 NA NA NA 2577 526 271 NA NA NA 9205 1183 584 NA NA NA
1543442400.0 523.0 14 49 0 NA NA NA 65 110 0 NA NA NA 1057 566 221 NA NA NA 1470 947 324 NA NA NA
1543442400.0 524.0 12 40 0 NA NA NA 65 98 0 NA NA NA 1293 547 238 NA NA NA 2059 1124 401 NA NA NA
1543442400.0 525.0 15 40 0 NA NA NA 65 97 0 NA NA NA 873 542 267 NA NA NA 2159 1661 656 NA NA NA
1543442400.0 526.0 13 40 0 NA NA NA 65 99 0 NA NA NA 2589 541 268 NA NA NA 13595 876 764 NA NA NA
1543442400.0 527.0 14 39 0 NA NA NA 65 98 0 NA NA NA 1227 591 285 NA NA NA 1561 1145 1012 NA NA NA
1543442400.0 528.0 13 40 0 NA NA NA 65 98 0 NA NA NA 861 532 275 NA NA NA 2259 856 932 NA NA NA
1543442400.0 529.0 15 40 0 NA NA NA 65 96 0 NA NA NA 2433 534 255 NA NA NA 3852 1882 1176 NA NA NA
1543442400.0 530.0 15 37 0 NA NA NA 65 99 0 NA NA NA 1181 546 274 NA NA NA 1363 965 1247 NA NA NA
1543442400.0 531.0 42 0 NA NA NA NA 197 0 NA NA NA NA 507 286 NA NA NA NA 1076 1454 NA NA NA NA
1543442400.0 534.0 40 0 NA NA NA NA 105 0 NA NA NA NA 494 261 NA NA NA NA 730 648 NA NA NA NA
1543442400.0 535.0 40 0 NA NA NA NA 97 0 NA NA NA NA 1130 223 NA NA NA NA 2248 358 NA NA NA NA
1543442400.0 541.0 41 0 NA NA NA NA 103 0 NA NA NA NA 553 240 NA NA NA NA 1580 369 NA NA NA NA
1543442400.0 545.0 39 0 NA NA NA NA 101 0 NA NA NA NA 605 222 NA NA NA NA 2207 879 NA NA NA NA
1543442400.0 551.0 14 34 0 NA NA NA 65 96 0 NA NA NA 1032 495 255 NA NA NA 1291 695 426 NA NA NA
1543442400.0 552.0 15 35 0 NA NA NA 65 97 0 NA NA NA 1172 541 241 NA NA NA 1398 1204 367 NA NA NA
1543442400.0 554.0 13 42 0 NA NA NA 65 98 0 NA NA NA 2194 482 257 NA NA NA 5132 1039 752 NA NA NA
1543442400.0 556.0 19 40 0 NA NA NA 65 98 0 NA NA NA 480 538 251 NA NA NA 1089 850 1363 NA NA NA
1543442400.0 560.0 35 0 NA NA NA NA 90 0 NA NA NA NA 542 278 NA NA NA NA 1263 1238 NA NA NA NA
1543442400.0 561.0 36 0 NA NA NA NA 89 0 NA NA NA NA 471 255 NA NA NA NA 623 427 NA NA NA NA
1543442400.0 562.0 15 35 0 NA NA NA 65 93 0 NA NA NA 471 499 241 NA NA NA 911 791 471 NA NA NA
1543442400.0 7.0 55 99 162 54 0 NA 132 585 244 111 0 NA 680 574 1419 720 402 NA 1788 714 1829 1285 682 NA
