Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542146400.0 134.809 NA 43 236 0 NA NA NA NA NA 84 307 0 NA NA NA NA NA 184 5807 397 NA NA NA NA NA 233 5973 429 NA NA NA NA
1542146400.0 134.81 NA 41 228 0 NA NA NA NA NA 83 307 0 NA NA NA NA NA 181 5859 379 NA NA NA NA NA 206 6406 398 NA NA NA NA
1542146400.0 134.811 NA 37 233 0 NA NA NA NA NA 85 313 0 NA NA NA NA NA 186 6022 387 NA NA NA NA NA 221 6295 463 NA NA NA NA
1542146400.0 134.812 NA 42 231 0 NA NA NA NA NA 83 294 0 NA NA NA NA NA 146 3391 455 NA NA NA NA NA 178 3611 573 NA NA NA NA
1542146400.0 134.813 NA 120 63 0 NA NA NA NA NA 198 96 0 NA NA NA NA NA 508 64 123 NA NA NA NA NA 680 156 186 NA NA NA NA
1542146400.0 134.901 NA 34 228 0 NA NA NA NA NA 84 300 0 NA NA NA NA NA 143 3503 390 NA NA NA NA NA 168 3654 406 NA NA NA NA
1542146400.0 134.902 NA 36 218 0 NA NA NA NA NA 88 297 0 NA NA NA NA NA 166 5378 432 NA NA NA NA NA 254 5814 449 NA NA NA NA
1542146400.0 134.903 NA 39 229 0 NA NA NA NA NA 88 294 0 NA NA NA NA NA 161 4305 400 NA NA NA NA NA 233 4608 425 NA NA NA NA
1542146400.0 134.904 NA 37 236 0 NA NA NA NA NA 86 301 0 NA NA NA NA NA 165 4989 418 NA NA NA NA NA 185 5161 468 NA NA NA NA
1542146400.0 134.905 NA 39 226 0 NA NA NA NA NA 86 294 0 NA NA NA NA NA 163 4304 389 NA NA NA NA NA 402 4684 407 NA NA NA NA
1542146400.0 134.906 NA 34 229 0 NA NA NA NA NA 86 302 0 NA NA NA NA NA 165 4941 398 NA NA NA NA NA 567 6027 415 NA NA NA NA
1542146400.0 134.907 NA 81 220 0 NA NA NA NA NA 146 315 0 NA NA NA NA NA 490 4841 400 NA NA NA NA NA 790 6202 555 NA NA NA NA
1542146400.0 134.908 NA 84 215 0 NA NA NA NA NA 149 318 0 NA NA NA NA NA 500 4901 401 NA NA NA NA NA 791 6427 472 NA NA NA NA
1542146400.0 134.909 NA 36 219 0 NA NA NA NA NA 87 298 0 NA NA NA NA NA 167 4621 385 NA NA NA NA NA 1889 5003 399 NA NA NA NA
1542146400.0 134.91 NA 42 226 0 NA NA NA NA NA 86 291 0 NA NA NA NA NA 178 4146 398 NA NA NA NA NA 193 4439 419 NA NA NA NA
