Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543442400.0 511.0 44 0 NA NA NA 95 0 NA NA NA 20738 307 NA NA NA 28865 654 NA NA NA
1543442400.0 514.0 21 47 0 NA NA 68 95 0 NA NA 519 308 269 NA NA 986 454 635 NA NA
1543442400.0 517.0 19 42 0 NA NA 64 93 0 NA NA 1359 288 244 NA NA 2443 475 459 NA NA
1543442400.0 520.0 22 41 0 NA NA 65 93 0 NA NA 1361 289 241 NA NA 2272 500 451 NA NA
1543442400.0 524.0 21 43 0 NA NA 64 96 0 NA NA 1326 320 248 NA NA 1717 491 471 NA NA
1543442400.0 527.0 21 38 0 NA NA 64 93 0 NA NA 1436 339 275 NA NA 2088 570 872 NA NA
1543442400.0 530.0 21 46 0 NA NA 68 94 0 NA NA 958 241 199 NA NA 1277 685 534 NA NA
1543442400.0 531.0 74 0 NA NA NA 196 0 NA NA NA 272 259 NA NA NA 1352 1164 NA NA NA
1543442400.0 534.0 52 0 NA NA NA 105 0 NA NA NA 314 202 NA NA NA 865 711 NA NA NA
1543442400.0 535.0 98 0 NA NA NA 188 0 NA NA NA 4604 209 NA NA NA 4050 552 NA NA NA
1543442400.0 541.0 50 0 NA NA NA 99 0 NA NA NA 333 261 NA NA NA 1197 981 NA NA NA
1543442400.0 545.0 48 0 NA NA NA 97 0 NA NA NA 314 228 NA NA NA 897 1386 NA NA NA
1543442400.0 552.0 21 46 0 NA NA 68 93 0 NA NA 969 297 156 NA NA 1281 884 309 NA NA
1543442400.0 554.0 22 48 0 NA NA 69 94 0 NA NA 1857 300 230 NA NA 2612 1521 1442 NA NA
1543442400.0 556.0 22 40 0 NA NA 69 94 0 NA NA 392 319 223 NA NA 933 1227 740 NA NA
1543442400.0 560.0 39 0 NA NA NA 88 0 NA NA NA 244 207 NA NA NA 657 725 NA NA NA
1543442400.0 561.0 48 0 NA NA NA 88 0 NA NA NA 253 210 NA NA NA 616 674 NA NA NA
1543442400.0 7.0 60 110 168 61 0 125 581 266 109 0 633 365 458 196 232 1574 341 586 411 419
1543442400.0 7.2 60 246 223 66 0 120 579 371 117 0 888 1499 710 245 622 822 1831 1027 731 750
1543442400.0 7.21 61 151 218 63 0 120 553 350 118 0 901 721 596 319 359 937 837 954 364 476
1543442400.0 7.3 61 225 211 69 0 118 657 343 122 0 1272 1401 691 243 613 1258 1750 862 820 1141
1543442400.0 7.4 61 241 217 67 0 122 673 355 123 0 602 1563 691 386 602 1367 2780 1117 692 709
1543442400.0 8.0 NA 105 173 47 0 NA 592 247 99 0 NA 1674 683 140 246 NA 1039 995 302 437
