Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1542621600.0 136.786 NA 91 325 0 NA NA NA NA 146 374 0 NA NA NA NA 1201 55507 2854 NA NA NA NA 1478 59375 3000 NA NA NA
1542621600.0 136.787 NA 76 381 0 NA NA NA NA 147 433 0 NA NA NA NA 1419 51270 2906 NA NA NA NA 1665 55792 3386 NA NA NA
1542621600.0 136.788 NA 75 375 0 NA NA NA NA 149 427 0 NA NA NA NA 1293 63229 2908 NA NA NA NA 1511 68007 3108 NA NA NA
1542621600.0 136.789 NA 86 324 0 NA NA NA NA 147 367 0 NA NA NA NA 1130 48175 2850 NA NA NA NA 2435 51330 3014 NA NA NA
1542621600.0 136.79 NA 95 325 0 NA NA NA NA 157 375 0 NA NA NA NA 1848 30419 2854 NA NA NA NA 2470 32126 3022 NA NA NA
1542621600.0 136.791 NA 85 290 0 NA NA NA NA 155 341 0 NA NA NA NA 1729 6880 2326 NA NA NA NA 2100 7858 2517 NA NA NA
1542621600.0 136.792 NA 87 322 0 NA NA NA NA 152 372 0 NA NA NA NA 1397 40387 3058 NA NA NA NA 1631 44175 3282 NA NA NA
1542621600.0 136.793 NA 92 353 0 NA NA NA NA 149 403 0 NA NA NA NA 1161 41210 3132 NA NA NA NA 1392 48000 3408 NA NA NA
1542621600.0 136.794 NA 84 321 0 NA NA NA NA 152 373 0 NA NA NA NA 1746 42175 3058 NA NA NA NA 3448 45175 3564 NA NA NA
1542621600.0 136.795 NA 77 356 0 NA NA NA NA 150 408 0 NA NA NA NA 1204 46334 3043 NA NA NA NA 1634 50537 3307 NA NA NA
1542621600.0 136.7952 NA 134 0 NA NA NA NA NA 212 0 NA NA NA NA NA 2648 264 NA NA NA NA NA 28981 21049 NA NA NA NA
1542621600.0 136.796 NA 82 372 0 NA NA NA NA 150 424 0 NA NA NA NA 1188 43088 3068 NA NA NA NA 1406 52808 3317 NA NA NA
1542621600.0 136.797 NA 78 340 0 NA NA NA NA 152 376 0 NA NA NA NA 1468 46065 3085 NA NA NA NA 3237 50960 3328 NA NA NA
1542621600.0 136.798 NA 94 321 0 NA NA NA NA 149 371 0 NA NA NA NA 1172 42246 3086 NA NA NA NA 1405 51488 3614 NA NA NA
